seed,pnl_bs,pnl_heston,sharpe_bs,sharpe_heston,maxdd_bs,maxdd_heston,nfills_bs,nfills_heston,final_spot,spot0,terminal_variance,mean_variance,vol_of_var,max_spot_drawdown
12,-10.891001546687619,66.80272384006835,-0.5526096670461059,2.3069545391553183,-42.16828227022596,-34.279027956570346,126,122,107.87297793944084,100.0,0.01771277783193886,0.029434832680594478,0.005327868971424727,-0.04447103422059695
13,63.28182884860722,84.33065704475409,3.125662970614128,2.08975344348975,-21.144636756926303,-42.43819782645126,122,115,109.9411595436293,100.0,0.0014708898730681603,0.020922233285707793,0.00576421091625851,-0.0487535301748957
14,20.77880102090588,49.08680111724257,1.1927686717137462,2.6298808944376475,-37.73560891639748,-20.988759922334587,115,125,105.10926740352788,100.0,0.0030049658110534454,0.02589478240981565,0.0055048701921857355,-0.04511928608033122
15,-1.5588054246245804,156.75662874373114,-0.0786702557752823,3.8204674848649436,-30.365395922347034,-27.859857157422297,128,112,113.4929988440065,100.0,0.006179500184743451,0.029093055600551764,0.005581417824297083,-0.03415281745713061
16,13.993742162050978,30.073896678318626,0.8781778398080381,1.5111339793379508,-25.946311542190003,-41.07179374496561,116,122,108.13248948982911,100.0,0.027158628316751483,0.033798016140848805,0.006648014605746991,-0.07760312115372547
17,110.57039642413451,102.91388340891936,5.391040137421718,3.417902993607417,-20.362669203192695,-46.058311763470115,108,117,86.7434986018562,100.0,0.07403183853497118,0.08139575417062611,0.011250710773521728,-0.2557537149244302
18,68.41498964486887,24.514935121017757,1.7465091499911432,1.1672511270454349,-58.72359835281509,-23.819691043888778,120,103,102.66110883787734,100.0,0.014912113495313992,0.03672270456924741,0.006076794946411693,-0.06490279201775928
19,49.32937721711798,26.231784233380083,1.1646994747868413,1.0084669244911146,-58.14330346127848,-40.08451419036636,108,102,99.70943368717325,100.0,0.04788890857999347,0.04601848857710418,0.007107246786639692,-0.09783651377270408
20,12.124595944170693,24.314307590710158,0.7831732637091118,1.3118390259986024,-31.732141318759858,-42.154581201512805,139,152,97.50286709404558,100.0,0.0016960885563810629,0.016912540366634712,0.005822710337118329,-0.08484828070205852
21,158.8997410179681,127.22254188270222,2.2799752084817015,1.880579792422571,-97.33199629222344,-91.29413221434021,117,134,93.57836844398922,100.0,0.0782143625823341,0.08184264984867243,0.008942452460053851,-0.12189957279937103
22,163.8450127814042,73.71142442335281,3.5464808362342692,2.25130342157413,-65.3153000940234,-50.60974309520117,119,111,101.5902401696238,100.0,0.07310166384396981,0.03516243141855159,0.005744387788566814,-0.06987575331780449
23,-32.9836551447783,-10.507625290086025,-2.2018632222759873,-0.2837268726170721,-57.7313636925334,-83.53782649812754,141,125,102.20487859692466,100.0,0.007632002187971692,0.01699648845538711,0.005056803131388947,-0.05215043647404016
24,40.37745226735521,30.632969823596454,2.5380724548597984,1.7505915197710553,-25.70603991532459,-28.524166002898266,127,127,92.79593470562851,100.0,0.05831175746509283,0.02723799120649477,0.005988743718848639,-0.11974428425071593
25,471.37434231570364,306.9873262066375,5.540212067885085,7.39770722003233,-70.04117509801637,-18.281101748694084,143,131,93.75226467955895,100.0,0.08361860661541012,0.05954749363349343,0.006874402251758253,-0.17605248495686343
26,79.96319994631202,160.54044497384646,3.5789334786911144,3.844272908908638,-14.611138165643641,-26.019010585901654,137,113,110.74229412627619,100.0,0.0049686206927507665,0.016317982559742556,0.00442311075160746,-0.06245091105108447
27,-11.54611428275794,6.856195460015648,-0.5315480961948169,0.17115616020410873,-46.83365531773205,-64.89601101968785,144,125,102.17034332140835,100.0,0.011377381136317859,0.027182148753313568,0.005452468875452608,-0.06736006639789849
28,-2.502270956684157,41.291035318250735,-0.16976455229492116,0.9859191632966119,-42.161094678685714,-63.02970841727381,128,131,107.98877897236362,100.0,0.018266140106744794,0.024838060062141013,0.005377718060382565,-0.038815218278171915
29,18.924928233447076,33.917009178698365,0.8669646400872085,1.0145065189681852,-21.477028071537205,-45.57491621968887,111,99,106.8787678996046,100.0,0.00908264930371734,0.032749128304898845,0.0065203014970298965,-0.05226984309886462
30,-7.67794319361127,21.27870640634059,-0.17321595447663243,0.604987489273905,-92.9450109971869,-37.37659414144784,127,128,107.68572268539806,100.0,0.04138269790623604,0.0358426973386574,0.006202420056083905,-0.06500358903581349
31,-8.95389106343643,20.154138979606877,-0.6248756877791405,0.683265134808676,-35.03156344334728,-40.00972159881299,145,129,107.81530787871921,100.0,-0.00015158463102514302,0.009921638670813259,0.0029955445683009807,-0.016583262436155266
32,17.165694074271414,-66.41881787224418,1.1959239935989634,-2.1853322601554885,-40.421644804041165,-104.52532387660247,146,134,99.63210285762155,100.0,0.045811302022077366,0.02456948304718897,0.004429976434740817,-0.06294229030367182
33,25.589361690145637,14.64406047597592,0.6245224477350456,0.581324985499548,-49.992867444312935,-29.956349804954925,122,116,103.52034961978721,100.0,0.02489495723545781,0.04709669935588438,0.0068311911814457425,-0.05551781979608639
34,3.9706108142446794,-51.59930180768254,0.0943985778018303,-1.7106889296880012,-34.17637696776778,-108.4048274919879,140,129,103.50442596060974,100.0,0.00818989805148765,0.01725993127663594,0.0041472164942988445,-0.06968468731189037
35,36.18739731080437,77.86765575716304,1.7904831408163249,3.4295950386602394,-19.201012958215273,-17.221156188385756,140,140,104.83011553394559,100.0,0.002813600372376472,0.026878537014410932,0.005709014742123172,-0.050814502432869335
36,-14.395080344874401,56.40210760807463,-1.0414234055515459,2.1288373546424304,-33.62300488939883,-35.33787228609198,137,123,106.84477511411194,100.0,-0.0012383972368694607,0.019036836321373037,0.0041358756938728635,-0.026107569721073975
37,113.133562569156,121.88209228093626,4.131068413877401,3.906621030439837,-30.592002368468506,-35.42362631542637,110,111,88.01525288789598,100.0,0.05189636301037411,0.07219665531721217,0.009305039336740092,-0.16074308546011906
38,89.8791385288736,58.511142162918716,2.5250468518328604,1.6688539535551694,-30.905797154951898,-33.065823995440915,123,135,93.69757703150587,100.0,0.12484554415352835,0.04399000382405831,0.007027005254255999,-0.14743815615665556
39,16.119508604139867,-26.76996724961981,0.13071385547918618,-0.22002684594712427,-251.34764497466398,-272.00248093409834,128,124,97.93765743114248,100.0,0.09288864871784237,0.08248838000360031,0.009003041199811053,-0.125509585685314
40,65.87111347711951,47.887069596872976,7.069919081838756,2.455119689984977,-10.389934663111713,-32.84370295497648,138,141,95.76997945135113,100.0,0.05648538575205525,0.03896812196561296,0.006832812665492175,-0.0868911264523835
